participant,gendered_female,gendered_male,non_gendered_none,source_file
P1,3.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P10,4.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P11,2.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P12,3.0,3.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P13,3.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P14,4.0,4.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P15,2.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P16,3.0,3.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P17,2.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P20,2.0,3.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P21,3.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P22,3.0,4.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P24,3.0,3.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P25,2.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P27,4.0,3.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P29,4.0,3.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P3,2.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P30,2.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P31,3.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P32,4.0,3.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P33,2.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P34,5.0,4.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P35,4.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P37,3.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P4,4.0,4.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P42,3.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P43,3.0,3.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P44,4.0,4.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P45,2.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P47,2.0,1.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P48,4.0,3.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P49,5.0,2.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P5,4.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P50,3.0,2.0,3.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P52,2.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P53,2.0,3.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P55,2.0,2.0,2.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P56,4.0,2.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P57,4.0,4.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
P58,3.0,3.0,4.0,FINAL_non-gender_gender_fem_male_temp_1.csv
P59,2.0,4.0,,FINAL_non-gender_gender_fem_male_temp_1.csv
