Interview ID,Interviewee Words,Interviewer Words,Total Words,Unique Words,Video Duration (s),Words per Second,Unique Words per Second
p1,531,78,609,284,197.0,3.091,1.442
p10,1003,110,1113,380,426.0,2.613,0.892
p11,665,78,743,292,272.0,2.732,1.074
p12,606,107,713,280,205.0,3.478,1.366
p13,563,81,644,269,294.0,2.19,0.915
p14,540,72,612,272,246.0,2.488,1.106
p15,1073,131,1204,410,473.0,2.545,0.867
p16,625,86,711,411,490.008,1.451,0.839
p17,508,96,604,291,270.0,2.237,1.078
p20,425,100,525,240,234.0,2.244,1.026
p21,978,97,1075,365,535.008,2.009,0.682
p22,488,84,572,416,403.008,1.419,1.032
p24,919,113,1032,376,364.0,2.835,1.033
p25,495,86,581,399,383.0,1.517,1.042
p27,374,73,447,220,199.0,2.246,1.106
p29,617,66,683,287,231.0,2.957,1.242
p3,1316,125,1441,467,474.0,3.04,0.985
p30,285,93,378,202,175.0,2.16,1.154
p31,899,117,1016,368,397.008,2.559,0.927
p32,955,101,1056,388,357.0,2.958,1.087
p33,763,85,848,323,306.0,2.771,1.056
p34,980,69,1049,403,395.0,2.656,1.02
p35,537,90,627,268,245.0,2.559,1.094
p37,513,82,595,279,250.0,2.38,1.116
p4,723,76,799,292,263.0,3.038,1.11
p42,1106,170,1276,428,497.0,2.567,0.861
p43,515,106,621,278,222.0,2.797,1.252
p44,761,101,862,355,406.008,2.123,0.874
p45,962,121,1083,421,320.0,3.384,1.316
p47,388,139,527,243,210.0,2.51,1.157
p48,745,122,867,315,296.0,2.929,1.064
p49,1340,113,1453,491,616.008,2.359,0.797
p5,405,64,469,227,177.0,2.65,1.282
p50,832,71,903,362,383.0,2.358,0.945
p52,666,138,804,327,279.0,2.882,1.172
p53,703,70,773,294,230.0,3.361,1.278
p55,413,66,479,228,184.0,2.603,1.239
p56,840,92,932,336,351.0,2.655,0.957
p57,881,73,954,372,324.0,2.944,1.148
p58,465,88,553,238,221.0,2.502,1.077
p59,443,72,515,237,185.0,2.784,1.281
p6,1080,77,1157,413,437.0,2.648,0.945
p60,1094,77,1171,389,409.0,2.863,0.951
p61,48,75,123,159,132.0,0.932,1.205
p62,1084,103,1187,369,489.0,2.427,0.755
p63,857,126,983,367,410.0,2.398,0.895
p64,1564,108,1672,497,605.0,2.764,0.821
p65,1420,109,1529,521,602.0,2.54,0.865
p66,1231,141,1372,458,464.0,2.957,0.987
p67,1530,147,1677,529,640.008,2.62,0.827
p69,594,115,709,272,314.0,2.258,0.866
p7,693,81,774,345,270.0,2.867,1.278
p70,304,61,365,185,153.0,2.386,1.209
p71,452,67,519,242,215.0,2.414,1.126
p72,314,68,382,185,155.0,2.465,1.194
p73,617,90,707,301,212.0,3.335,1.42
p74,292,61,353,201,171.0,2.064,1.175
p76,569,91,660,284,216.0,3.056,1.315
p77,597,73,670,270,241.008,2.78,1.12
p78,316,69,385,202,170.0,2.265,1.188
p79,1175,138,1313,406,424.008,3.097,0.958
p8,712,73,785,328,317.0,2.476,1.035
p80,622,101,723,336,259.008,2.791,1.297
p81,653,59,712,294,235.008,3.03,1.251
p83,408,74,482,222,166.008,2.903,1.337
p84,984,95,1079,394,335.0,3.221,1.176
p85,1102,139,1241,412,361.008,3.438,1.141
p86,1075,116,1191,387,375.0,3.176,1.032
p89,684,97,781,299,335.0,2.331,0.893
pp1,425,105,530,242,180.344828,2.939,1.342
pp10,462,88,550,236,237.965517,2.311,0.992
pp11,429,80,509,231,180.0,2.828,1.283
pp12,473,88,561,222,187.008,3.0,1.187
pp13,405,87,492,258,271.0,1.815,0.952
pp14,607,91,698,292,245.0,2.849,1.192
pp15,1117,100,1217,410,509.0,2.391,0.806
pp16,1047,89,1136,397,433.008,2.624,0.917
pp17,1005,91,1096,367,460.517241,2.38,0.797
pp20,504,116,620,279,228.0,2.719,1.224
pp21,561,83,644,264,268.008,2.403,0.985
pp22,798,83,881,319,350.0,2.517,0.911
pp24,390,85,475,236,210.0,2.262,1.124
pp25,1308,106,1414,450,464.0,3.047,0.97
pp27,640,114,754,337,276.0,2.732,1.221
pp29,836,84,920,346,311.0,2.958,1.113
pp3,1558,108,1666,483,575.0,2.897,0.84
pp30,357,95,452,223,227.0,1.991,0.982
pp31,992,109,1101,397,423.0,2.603,0.939
pp32,720,90,810,302,267.0,3.034,1.131
pp33,862,79,941,345,311.0,3.026,1.109
pp34,1067,93,1160,445,377.0,3.077,1.18
pp35,439,83,522,266,206.0,2.534,1.291
pp37,482,78,560,234,208.008,2.692,1.125
pp4,1218,110,1328,419,473.0,2.808,0.886
pp42,621,129,750,326,288.0,2.604,1.132
pp43,362,123,485,235,166.008,2.922,1.416
pp44,995,140,1135,414,474.0,2.395,0.873
pp45,660,94,754,306,225.0,3.351,1.36
pp47,338,118,456,201,167.0,2.731,1.204
pp48,426,155,581,250,226.008,2.571,1.106
pp49,986,120,1106,412,525.0,2.107,0.785
pp5,496,99,595,246,236.0,2.521,1.042
pp50,786,129,915,330,301.008,3.04,1.096
pp52,763,122,885,329,385.008,2.299,0.855
pp53,251,98,349,382,310.008,1.126,1.232
pp55,469,78,547,265,213.0,2.568,1.244
pp56,489,85,574,266,239.0,2.402,1.113
pp57,752,78,830,314,256.008,3.242,1.227
pp58,483,81,564,275,220.0,2.564,1.25
pp59,692,81,773,337,261.0,2.962,1.291
pp6,1090,81,1171,439,522.0,2.243,0.841
pp60,1148,87,1235,422,422.0,2.927,1.0
pp61,343,97,440,235,184.0,2.391,1.277
pp62,812,88,900,340,402.0,2.239,0.846
pp63,723,129,852,340,346.008,2.462,0.983
pp64,1274,119,1393,454,447.0,3.116,1.016
pp65,1434,122,1556,632,832.008,1.87,0.76
pp66,1311,104,1415,445,432.0,3.275,1.03
pp67,1350,113,1463,508,818.904,1.787,0.62
pp69,690,103,793,315,320.0,2.478,0.984
pp7,498,67,565,279,190.008,2.974,1.468
pp70,511,81,592,265,395.496,1.497,0.67
pp71,536,85,621,290,408.0,1.522,0.711
pp72,511,84,595,235,348.936,1.705,0.673
pp73,655,82,737,293,427.008,1.726,0.686
pp74,362,76,438,210,337.416,1.298,0.622
pp76,533,84,617,267,382.968,1.611,0.697
pp77,498,78,576,331,453.528,1.27,0.73
pp78,266,86,352,188,337.416,1.043,0.557
pp79,980,96,1076,416,840.408,1.28,0.495
pp8,697,90,787,316,312.0,2.522,1.013
pp80,436,85,521,351,493.056,1.057,0.712
pp81,724,76,800,321,1051.608,0.761,0.305
pp83,417,96,513,240,408.0,1.257,0.588
pp84,808,81,889,331,540.12,1.646,0.613
pp85,1080,133,1213,398,626.712,1.935,0.635
pp86,1015,130,1145,376,606.168,1.889,0.62
pp89,1119,119,1238,402,619.704,1.998,0.649
